station,hour,minute,day_of_week,predicted_bikes
41 - Instituto de Artes,8,0,Quinta,5
41 - Instituto de Artes,8,0,Sexta,5
41 - Instituto de Artes,8,0,Sábado,5
41 - Instituto de Artes,8,0,Domingo,5
41 - Instituto de Artes,8,15,Segunda,5
41 - Instituto de Artes,8,15,Terça,5
41 - Instituto de Artes,8,15,Quarta,5
41 - Instituto de Artes,8,15,Quinta,5
41 - Instituto de Artes,8,15,Sexta,5
41 - Instituto de Artes,8,15,Sábado,5
41 - Instituto de Artes,8,15,Domingo,5
41 - Instituto de Artes,8,30,Segunda,6
41 - Instituto de Artes,8,30,Terça,6
41 - Instituto de Artes,8,30,Quarta,6
41 - Instituto de Artes,8,30,Quinta,6
41 - Instituto de Artes,8,30,Sexta,6
41 - Instituto de Artes,8,30,Sábado,6
41 - Instituto de Artes,8,30,Domingo,6
41 - Instituto de Artes,8,45,Segunda,6
41 - Instituto de Artes,8,45,Terça,6
41 - Instituto de Artes,8,45,Quarta,6
41 - Instituto de Artes,8,45,Quinta,6
41 - Instituto de Artes,8,45,Sexta,6
41 - Instituto de Artes,8,45,Sábado,6
41 - Instituto de Artes,8,45,Domingo,6
41 - Instituto de Artes,9,0,Segunda,5
41 - Instituto de Artes,9,0,Terça,5
41 - Instituto de Artes,9,0,Quarta,5
41 - Instituto de Artes,9,0,Quinta,5
41 - Instituto de Artes,9,0,Sexta,5
41 - Instituto de Artes,9,0,Sábado,5
41 - Instituto de Artes,9,0,Domingo,5
41 - Instituto de Artes,9,15,Segunda,5
41 - Instituto de Artes,9,15,Terça,5
41 - Instituto de Artes,9,15,Quarta,5
41 - Instituto de Artes,9,15,Quinta,5
41 - Instituto de Artes,9,15,Sexta,5
41 - Instituto de Artes,9,15,Sábado,5
41 - Instituto de Artes,9,15,Domingo,5
41 - Instituto de Artes,9,30,Segunda,6
41 - Instituto de Artes,9,30,Terça,6
41 - Instituto de Artes,9,30,Quarta,6
41 - Instituto de Artes,9,30,Quinta,6
41 - Instituto de Artes,9,30,Sexta,6
41 - Instituto de Artes,9,30,Sábado,6
41 - Instituto de Artes,9,30,Domingo,6
41 - Instituto de Artes,9,45,Segunda,6
41 - Instituto de Artes,9,45,Terça,6
41 - Instituto de Artes,9,45,Quarta,6
41 - Instituto de Artes,9,45,Quinta,6
41 - Instituto de Artes,9,45,Sexta,6
41 - Instituto de Artes,9,45,Sábado,6
41 - Instituto de Artes,9,45,Domingo,6
41 - Instituto de Artes,10,0,Segunda,8
41 - Instituto de Artes,10,0,Terça,8
41 - Instituto de Artes,10,0,Quarta,8
41 - Instituto de Artes,10,0,Quinta,8
41 - Instituto de Artes,10,0,Sexta,8
41 - Instituto de Artes,10,0,Sábado,8
41 - Instituto de Artes,10,0,Domingo,8
41 - Instituto de Artes,10,15,Segunda,8
41 - Instituto de Artes,10,15,Terça,8
41 - Instituto de Artes,10,15,Quarta,8
41 - Instituto de Artes,10,15,Quinta,8
41 - Instituto de Artes,10,15,Sexta,8
41 - Instituto de Artes,10,15,Sábado,8
41 - Instituto de Artes,10,15,Domingo,8
41 - Instituto de Artes,10,30,Segunda,11
41 - Instituto de Artes,10,30,Terça,11
41 - Instituto de Artes,10,30,Quarta,11
41 - Instituto de Artes,10,30,Quinta,11
41 - Instituto de Artes,10,30,Sexta,11
41 - Instituto de Artes,10,30,Sábado,11
41 - Instituto de Artes,10,30,Domingo,11
41 - Instituto de Artes,10,45,Segunda,11
41 - Instituto de Artes,10,45,Terça,11
41 - Instituto de Artes,10,45,Quarta,11
41 - Instituto de Artes,10,45,Quinta,11
41 - Instituto de Artes,10,45,Sexta,11
41 - Instituto de Artes,10,45,Sábado,11
41 - Instituto de Artes,10,45,Domingo,11
41 - Instituto de Artes,11,0,Segunda,8
41 - Instituto de Artes,11,0,Terça,8
41 - Instituto de Artes,11,0,Quarta,8
41 - Instituto de Artes,11,0,Quinta,8
